"","D1","D2","D3","D4"
"1",0.606209833090295,0.169826069166796,-0.0153995192498304,-0.125142256233641
"2",-0.914067839538223,0.465901401978242,-0.207508441996053,0.0592352922743024
"3",0.307500780122413,-0.334463884197011,-0.231597382149054,0.511361236772042
"4",-0.466150970226282,-0.263930832066169,0.3743387413513,0.128854154283692
"5",0.268520692002166,0.395542267104509,0.20452463987127,0.255973103924111
"6",0.529734492321725,0.229186149838913,-0.216989740135197,-0.12528590342092
"7",-0.873811443970998,0.314423249479786,-0.100758727176366,0.0228870421880552
"8",0.564748180426421,-0.0894373337732316,0.0563697545750547,0.266091059407329
"9",0.342433615850209,0.304687362080822,-0.0995280416663129,-0.164799175459442
"10",0.262105945656593,-0.264323003670181,-0.174307611102483,0.506785816432055
"11",-0.516739965716886,-0.120676310873099,0.468419090554821,-0.347452256227178
"12",-0.442817601609536,-0.0291015897368815,0.0895620117678218,0.550862641054539
"13",-0.457402071516238,-0.256297650612622,0.255765333009039,-0.000394988947464705
"14",-0.430998213957739,-0.261975373079071,0.407216073348058,0.0996692396290642
"15",0.536817442936085,0.408775415176687,-0.012041200009448,-0.0559404321960646
"16",-0.146091295830384,-0.0930953330864155,0.52440669579118,-0.25056806924197
"17",-0.0681516265040858,-0.0948948589908899,0.514598784358939,-0.220361404397367
"18",-0.718234850018265,0.384602787396797,-0.329820426714476,0.046457471448689
"19",0.626572214509985,0.292386744518444,0.00718707144841302,-0.0831388318905467
"20",0.0821392047293235,-0.682447106250412,0.0364839440672479,-0.154827641504822
"21",-0.802628847839931,-0.0272848260038926,0.116649330434767,0.00411156981711004
"22",0.3388361663569,0.468648259238468,-0.0552024470240388,-0.0217996067896757
"23",0.305321675476561,0.469339553205366,-0.0337424962773698,-0.0123626995490843
"24",0.658497027202991,0.224812866434348,0.100476839866228,0.0417419628905912
"25",0.370714167106513,0.27450274980827,0.0507451297596191,-0.0425369259119036
"26",0.342138017894011,-0.0913756783264469,-0.0637255317387206,0.5186511669705
"27",-0.318709356174256,0.192693490192431,0.444445932737557,-0.108023410214411
"28",0.294690204235512,0.364401199007009,-0.276351691647747,-0.27181383630226
"29",0.0633685887297883,-0.919089383732929,-0.0448469915695095,0.112098656551725
"30",-0.0693373495954061,-0.640774101970563,0.325601515707346,0.192015457119064
"31",0.608765815723482,0.217276313769215,0.206635968204851,0.0537091415363333
"32",0.489224950366809,0.226854968986194,-0.048605313111751,-0.079481556355122
"33",-0.805772782922712,0.391394481313659,-0.30119750884691,0.0842983031470697
"34",-0.546496417312621,-0.125941849165913,0.345557349884893,0.0775881101901187
"35",-0.570126700770168,0.100521142832827,-0.481479809702794,-0.0513384568096043
"36",0.372672632055326,0.4326362920906,-0.182494160595119,-0.0112319776564487
"37",0.123407572981784,-0.730257414602771,-0.0616593755294183,-0.226935032135412
"38",0.238271690248465,-0.407917125364003,-0.515428043215697,-0.277718826034368
"39",-0.774539243932476,0.0711874517262562,-0.211756488875186,-0.250292484118062
"40",0.0633584927018548,0.00215734045955928,0.21633985189791,-0.53487304636314
"41",0.410297748584397,-0.491104428204996,-0.338364617620841,-0.264004253112482
"42",-0.522981629268687,0.199814110103899,-0.29437088225444,-0.297379676808308
"43",0.0535285055579252,-0.719996800527072,-0.0446241451387901,-0.0715465526211864
"44",-0.648321906489033,-0.0423422461353849,0.246649162096299,0.148378250871807
"45",0.272607823981454,-0.591237913125275,-0.242350122716246,-0.323947025721412
"46",0.00146165634595539,-0.741554267105483,-0.282565184273689,0.030658726918728
"47",-0.110486990938403,-0.671839190258388,-0.244741847571466,-0.00443082611210379
"48",-0.129955759435878,-0.733625007463174,-0.232766909308835,0.214721789202818
"49",-0.0956890131333673,0.0214066950100937,0.465805530627108,-0.127812868732115
"50",0.203307945976267,0.536067467195231,-0.170589855632089,-0.00375582812334311
"51",0.00853316235158503,0.424435425774414,0.0876621096576706,0.469248467966055
"52",0.317618793455937,0.443869284063278,-0.0444343734905588,0.0474133825033707
"53",0.439627927528179,-0.453711421591095,-0.343436923465149,-0.214231979760194
"54",-0.815726857925511,0.452918199280113,-0.162469999102775,0.0262486331469437
"55",0.598812784682338,0.309103211396717,0.0383652569116518,-0.06658009143411
"56",0.374365891735601,-0.161261232621788,-0.00212836244658704,0.498235731123181
"57",0.574964847064853,0.10677971160033,0.064977042049954,0.0260886393258125
"58",0.351383911588082,0.228681723848789,0.297621198421774,0.199183112997611
"59",-0.661474897058577,0.14267464345164,-0.197400767882834,0.00430994510259855
"60",-0.642612694180561,0.509121957455658,-0.198600212888568,-0.0828701301716265
"61",0.203550849661975,0.00877090258575465,0.43455292314897,-0.270642836494085
"62",0.343215074626535,0.254555274964098,0.0823278705766066,-0.0533572179454589
