"","D1","D2","D3"
"1",0.592535207664728,0.213346552008457,-0.109078531631591
"2",-0.940645128629431,0.486729643357603,-0.155293579344928
"3",0.503022599634913,-0.499164391068668,0.14866154786891
"4",-0.487974446448245,-0.286700356430759,0.336437235151752
"5",0.290387441973915,0.438266237790208,0.228456991888055
"6",0.52153961550423,0.23851699913383,-0.250052288833382
"7",-0.886474800001395,0.344365727346634,-0.0649605754739338
"8",0.619299005398891,-0.090966688371221,0.0853511936397784
"9",0.341604876684867,0.297100287443419,-0.164394297729782
"10",0.447667469687457,-0.42631670756892,0.194795291960001
"11",-0.529969146216661,-0.0909469704163542,0.591309699425937
"12",-0.584106043884295,-0.252810706735243,-0.0962596101555171
"13",-0.463632807837657,-0.249411061765874,0.217587003255822
"14",-0.459357415523792,-0.282955775636238,0.359121824681083
"15",0.528331267953281,0.410422544053065,-0.0827120797582001
"16",-0.156854627589688,-0.0803830374134812,0.555782552322427
"17",-0.0939752404321914,-0.0792938252016425,0.528758900988084
"18",-0.750270106678503,0.430410886518182,-0.243240560317683
"19",0.609749052575698,0.320975581779855,-0.0703512184642868
"20",0.0509211512292709,-0.68347435117604,-0.0858367093661898
"21",-0.813455772391548,-0.00886141659286802,0.117461791344524
"22",0.339560190133927,0.451593202164077,-0.0905078493674246
"23",0.31263870531763,0.452950937139697,-0.0790923738521982
"24",0.653837323275015,0.257973464157774,0.0436703797724914
"25",0.365187451782245,0.281858634308983,-0.0199794051810164
"26",0.521883653931871,-0.24038101546513,0.231167451261097
"27",-0.320535171366477,0.183382828421977,0.441896852624704
"28",0.289582191665696,0.363393405630666,-0.370056355087827
"29",0.0304107179798173,-0.94122058491546,-0.0864707545500067
"30",-0.102528727944172,-0.679614410487663,0.290176288107382
"31",0.614864372321967,0.262926830987705,0.128563873886154
"32",0.479142608103116,0.246392602252654,-0.100774487719979
"33",-0.838505721682882,0.430773938399298,-0.223069144403844
"34",-0.560666634536998,-0.147879402288175,0.303788100003964
"35",-0.600488935374469,0.125831737323904,-0.450816828254186
"36",0.367013600877391,0.438590245185582,-0.180295722693998
"37",0.132420349931755,-0.738294979049364,-0.186195335222229
"38",0.250006735317183,-0.394017532665125,-0.589355557745345
"39",-0.80809314378545,0.0991579286085837,-0.254976091259231
"40",0.0971617865422549,-0.00350524772255399,0.531744464590916
"41",0.399543310754006,-0.470831556117869,-0.460369886181703
"42",-0.530063177677782,0.240700690503485,-0.354238090814555
"43",0.0411172004779793,-0.715297635121476,-0.126402557065353
"44",-0.663846945964913,-0.0427078703270529,0.249465183460647
"45",0.262934986503951,-0.577674863177437,-0.422777151346236
"46",-0.0273438026009647,-0.734797814637789,-0.313929685255372
"47",-0.11783348963708,-0.660207887557174,-0.272076778589264
"48",-0.16678406328492,-0.784620851364876,-0.179440980944561
"49",-0.108404530457568,0.0224076582783131,0.456483042171664
"50",0.20868745635157,0.526862891284139,-0.176120464923685
"51",-0.00100741472373949,0.580692934914481,0.245164382595192
"52",0.322544657329168,0.438190070439479,-0.0559626521924628
"53",0.424818909711879,-0.437159185665459,-0.439930985341857
"54",-0.838609545159626,0.465527027818969,-0.126920085704415
"55",0.589048173130875,0.328728766835637,-0.0539021281804272
"56",0.519786790313604,-0.270328154817388,0.267967633317591
"57",0.568999255568479,0.153877516884497,0.0109189774102554
"58",0.37747243447511,0.283854360446234,0.254422090728977
"59",-0.670904028569599,0.185374073246344,-0.157393868926255
"60",-0.659523286356044,0.51790610270376,-0.184151722534159
"61",0.164581971247033,0.0990083172398794,0.45889975732004
"62",0.343551633405385,0.251733655149985,-0.000666115364373974
